label,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25,p26,p27,p28,p29,p30,p31,p32,p33,p34,p35,p36,p37,p38,p39,p40,p41,p42,p43,p44,p45,p46,p47,p48,p49,p50,p51,p52,p53,p54,p55,p56,p57,p58,p59,p60,p61,p62,p63,p64,p65,p66,p67,p68,p69,p70,p71,p72,p73,p74,p75,p76,p77,p78,p79,p80,p81,p82,p83,p84,p85,p86,p87,p88,p89,p90,p91,p92,p93,p94,p95,p96,p97,p98,p99,p100,p101,p102,p103,p104,p105,p106,p107,p108,p109,p110,p111,p112,p113,p114,p115,p116,p117,p118,p119,p120,p121,p122,p123,p124,p125,p126,p127,p128,p129,p130,p131,p132,p133,p134,p135,p136,p137,p138,p139,p140,p141,p142,p143,p144,p145,p146,p147,p148,p149,p150,p151,p152,p153,p154,p155,p156,p157,p158,p159,p160,p161,p162,p163,p164,p165,p166,p167,p168,p169,p170,p171,p172,p173,p174,p175,p176,p177,p178,p179,p180,p181,p182,p183,p184,p185,p186,p187,p188,p189,p190,p191,p192,p193,p194,p195
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,253,63,0,0,0,0,0,0,0,0,0,0,0,127,251,62,0,0,0,0,0,0,0,0,0,0,60,251,94,0,0,0,0,0,0,0,0,0,0,0,253,235,0,0,0,0,0,0,0,0,0,0,0,104,253,15,0,0,0,0,0,0,0,0,0,0,32,253,159,0,0,0,0,0,0,0,0,0,0,0,221,251,0,0,0,0,0,0,0,0,0,0,0,0,251,89,0,0,0,0,0,0,0,0,0,0,0,228,247,8,0,0,0,0,0,0,0,0,0,0,0,251,220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,100,7,0,0,0,0,0,0,0,0,0,40,244,253,211,232,0,0,0,0,0,0,0,0,96,252,252,29,37,252,0,0,0,0,0,0,0,0,26,58,0,0,100,252,0,0,0,0,0,0,0,0,0,0,110,122,202,194,0,0,0,0,0,0,0,0,54,252,228,242,252,117,0,0,0,0,0,0,0,135,252,16,21,253,129,252,184,49,0,0,0,0,105,242,18,170,252,29,0,0,89,180,0,0,0,0,207,252,252,116,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,253,71,0,0,0,0,0,0,0,0,0,0,0,0,253,71,0,0,0,0,0,0,0,0,0,0,0,26,253,124,0,0,0,0,0,0,0,0,0,0,0,0,253,252,0,0,0,0,0,0,0,0,0,0,0,0,253,252,0,0,0,0,0,0,0,0,0,0,0,0,253,252,0,0,0,0,0,0,0,0,0,0,0,0,253,252,42,0,0,0,0,0,0,0,0,0,0,0,109,252,144,0,0,0,0,0,0,0,0,0,0,0,0,252,253,0,0,0,0,0,0,0,0,0,0,0,0,211,253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,254,48,0,0,0,0,0,0,0,0,0,0,0,0,254,57,0,0,0,0,0,0,0,0,0,0,0,0,239,143,0,0,0,0,0,0,0,0,0,0,0,0,178,143,0,0,0,0,0,0,0,0,0,0,0,0,178,240,0,0,0,0,0,0,0,0,0,0,0,0,83,245,0,0,0,0,0,0,0,0,0,0,0,0,0,254,0,0,0,0,0,0,0,0,0,0,0,0,0,240,0,0,0,0,0,0,0,0,0,0,0,0,0,247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,242,0,0,0,0,0,0,0,0,0,0,0,0,0,254,0,0,0,0,0,0,0,0,0,0,0,0,0,254,25,0,0,0,0,0,0,0,0,0,0,0,0,254,109,0,0,0,0,0,0,0,0,0,0,0,0,254,109,0,0,0,0,0,0,0,0,0,0,0,0,254,109,0,0,0,0,0,0,0,0,0,0,0,0,254,28,0,0,0,0,0,0,0,0,0,0,0,0,254,35,0,0,0,0,0,0,0,0,0,0,0,0,212,109,0,0,0,0,0,0,0,0,0,0,0,0,155,190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,211,250,15,0,0,0,0,0,0,0,0,0,204,135,0,40,252,0,0,0,0,0,0,0,0,0,217,0,0,0,254,14,0,0,0,0,0,0,0,0,0,0,0,0,212,141,0,0,0,0,0,0,0,0,0,0,0,0,215,128,0,0,0,0,0,0,0,0,0,0,0,35,254,208,207,254,160,0,0,0,0,137,254,254,240,250,254,50,0,0,0,0,0,0,0,222,0,0,4,244,50,0,0,0,0,0,0,0,0,254,177,96,252,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,229,0,0,0,0,0,0,0,0,45,185,223,253,175,188,0,0,0,0,0,0,0,0,245,158,21,48,253,8,0,0,0,0,0,0,0,0,212,161,26,253,113,0,0,0,0,0,0,0,0,0,141,253,254,154,0,0,0,0,0,0,0,0,0,0,171,254,179,0,0,0,0,0,0,0,0,0,0,123,253,156,200,0,0,0,0,0,0,0,0,0,64,253,8,219,126,0,0,0,0,0,0,0,0,0,132,190,85,236,0,0,0,0,0,0,0,0,0,0,112,253,236,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,254,0,0,0,0,0,0,0,0,0,0,0,0,118,253,42,0,0,0,0,0,0,0,0,0,0,32,253,186,0,0,0,0,0,0,0,0,0,0,0,254,253,0,0,0,0,0,0,0,0,0,0,0,149,254,21,0,0,0,0,0,0,0,0,0,0,0,254,213,0,0,0,0,0,0,0,0,0,0,0,212,250,0,0,0,0,0,0,0,0,0,0,0,75,253,59,0,0,0,0,0,0,0,0,0,0,0,224,253,0,0,0,0,0,0,0,0,0,0,0,0,248,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166,55,0,0,0,0,0,0,0,0,0,0,0,0,249,254,0,0,0,0,0,0,0,0,0,0,0,4,254,85,0,0,0,0,0,0,0,0,0,0,0,245,254,85,0,0,0,0,0,0,0,0,59,151,254,109,254,85,0,0,0,0,0,0,0,0,7,44,0,0,254,96,0,0,0,0,0,0,0,0,0,0,0,0,197,110,0,0,0,0,0,0,0,0,0,0,0,0,197,63,0,0,0,0,0,0,0,0,6,141,254,248,254,254,239,138,0,0,0,0,0,0,254,254,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,180,253,253,253,154,3,0,0,0,0,0,0,107,253,253,220,220,245,253,253,0,0,0,0,0,0,17,40,0,0,0,57,253,242,0,0,0,0,0,0,0,0,0,0,178,253,253,24,0,0,0,0,0,0,0,0,46,250,253,245,33,0,0,0,0,0,0,0,0,124,253,192,0,0,0,0,0,0,0,0,0,0,107,253,189,0,0,0,0,0,0,0,0,0,0,48,253,253,59,0,131,222,253,253,94,0,0,0,0,0,167,253,253,253,253,253,253,124,7,0,0,0,0,0,0,89,253,151,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
