label,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25,p26,p27,p28,p29,p30,p31,p32,p33,p34,p35,p36,p37,p38,p39,p40,p41,p42,p43,p44,p45,p46,p47,p48,p49,p50,p51,p52,p53,p54,p55,p56,p57,p58,p59,p60,p61,p62,p63,p64,p65,p66,p67,p68,p69,p70,p71,p72,p73,p74,p75,p76,p77,p78,p79,p80,p81,p82,p83,p84,p85,p86,p87,p88,p89,p90,p91,p92,p93,p94,p95,p96,p97,p98,p99,p100,p101,p102,p103,p104,p105,p106,p107,p108,p109,p110,p111,p112,p113,p114,p115,p116,p117,p118,p119,p120,p121,p122,p123,p124,p125,p126,p127,p128,p129,p130,p131,p132,p133,p134,p135,p136,p137,p138,p139,p140,p141,p142,p143,p144,p145,p146,p147,p148,p149,p150,p151,p152,p153,p154,p155,p156,p157,p158,p159,p160,p161,p162,p163,p164,p165,p166,p167,p168,p169,p170,p171,p172,p173,p174,p175,p176,p177,p178,p179,p180,p181,p182,p183,p184,p185,p186,p187,p188,p189,p190,p191,p192,p193,p194,p195
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,255,150,0,0,0,0,0,0,0,0,0,0,253,253,142,253,122,0,0,0,0,0,0,0,0,77,210,0,0,248,65,0,0,0,0,0,0,0,0,0,0,0,117,253,10,0,0,0,0,0,0,0,0,0,0,0,253,144,0,0,0,0,0,0,0,0,0,0,0,234,233,0,0,0,0,0,0,0,0,0,0,0,78,253,12,0,0,0,0,0,0,0,0,0,0,0,253,173,0,0,0,0,0,0,0,0,0,0,0,0,253,43,20,20,0,20,37,150,147,0,0,0,0,0,253,253,253,253,253,253,247,169,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,252,0,0,0,0,0,0,0,0,0,0,0,0,45,150,0,0,0,0,0,0,0,0,0,0,0,0,202,11,0,0,0,0,0,0,0,0,0,0,0,0,254,0,0,0,0,0,0,0,0,0,0,0,0,57,205,0,0,0,0,0,0,0,0,0,0,0,0,171,81,0,0,0,0,0,0,0,0,0,0,0,0,254,0,0,0,0,0,0,0,0,0,0,0,0,0,254,0,0,0,0,0,0,0,0,0,0,0,0,141,205,0,0,0,0,0,0,0,0,0,0,0,0,198,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,254,3,0,0,0,0,0,0,0,0,0,0,0,81,254,1,0,0,0,0,0,0,0,0,0,0,0,254,250,0,0,0,0,0,0,0,0,0,0,0,0,254,48,0,0,0,0,0,0,0,0,0,0,0,111,254,0,0,0,0,0,0,0,0,0,0,0,0,252,223,0,0,0,0,0,0,0,0,0,0,0,0,254,53,0,0,0,0,0,0,0,0,0,0,0,86,254,0,0,0,0,0,0,0,0,0,0,0,0,175,204,0,0,0,0,0,0,0,0,0,0,0,0,158,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,191,255,0,0,0,0,0,0,0,0,0,0,0,0,255,255,0,0,0,0,0,0,0,0,0,0,0,0,128,255,0,0,0,0,0,0,0,0,0,0,0,0,255,255,0,0,0,0,0,0,0,0,0,0,0,0,255,255,0,0,0,0,0,0,0,0,0,0,0,0,255,255,0,0,0,0,0,0,0,0,0,0,0,0,255,255,0,0,0,0,0,0,0,0,0,0,0,0,191,255,0,0,0,0,0,0,0,0,0,0,0,0,255,255,0,0,0,0,0,0,0,0,0,0,0,64,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,217,92,0,0,0,0,0,0,0,0,0,0,0,0,79,250,0,0,0,0,0,0,0,0,0,0,0,0,0,252,0,0,0,0,0,0,0,0,0,0,0,0,0,252,0,0,0,0,0,0,0,0,0,0,0,0,0,252,103,0,0,0,0,0,0,0,0,0,0,0,0,121,228,0,0,0,0,0,0,0,0,0,0,0,0,121,228,0,0,0,0,0,0,0,0,0,0,0,0,213,235,0,0,0,0,0,0,0,0,0,0,0,0,121,252,0,0,0,0,0,0,0,0,0,0,0,0,64,241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,193,0,0,0,0,0,0,0,0,0,0,0,0,0,254,0,0,0,0,0,0,0,0,0,0,0,0,0,254,0,0,0,0,0,0,0,0,0,0,0,0,0,152,203,0,0,0,0,0,0,0,0,0,0,0,0,92,214,0,0,0,0,0,0,0,0,0,0,0,0,0,254,0,0,0,0,0,0,0,0,0,0,0,0,0,254,0,0,0,0,0,0,0,0,0,0,0,0,0,254,0,0,0,0,0,0,0,0,0,0,0,0,0,255,0,0,0,0,0,0,0,0,0,0,0,0,0,173,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,204,253,253,253,253,235,0,0,0,0,0,0,0,225,167,14,0,0,16,253,0,0,0,0,0,0,251,48,0,0,0,0,0,253,0,0,0,0,0,0,45,0,0,0,0,0,67,240,0,0,0,0,0,0,0,0,0,0,0,44,253,0,0,0,0,0,0,0,0,0,0,0,11,253,77,0,0,0,0,0,0,0,0,0,0,11,253,71,0,0,0,0,0,0,0,0,81,253,253,253,253,70,0,22,77,0,0,0,0,248,253,253,242,0,107,253,253,160,0,0,0,0,0,121,176,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,209,0,0,0,0,0,0,0,0,0,0,0,0,0,252,6,0,0,0,0,0,0,0,0,0,0,0,0,252,63,0,0,0,0,0,0,0,0,0,0,0,0,252,168,0,0,0,0,0,0,0,0,0,0,0,0,211,252,0,0,0,0,0,0,0,0,0,0,0,0,212,253,0,0,0,0,0,0,0,0,0,0,0,0,211,252,0,0,0,0,0,0,0,0,0,0,0,0,211,252,0,0,0,0,0,0,0,0,0,0,0,0,131,252,0,0,0,0,0,0,0,0,0,0,0,0,106,252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,245,254,0,0,0,0,0,0,0,0,0,0,184,243,27,254,0,0,0,0,0,0,0,0,0,40,20,0,0,254,0,0,0,0,0,0,0,0,0,0,0,0,32,149,0,0,0,0,0,0,0,0,0,0,0,0,231,0,0,0,0,0,0,0,0,0,0,0,0,16,132,0,0,0,0,0,0,0,0,0,0,0,0,255,0,0,0,15,216,144,0,0,0,0,0,0,135,66,0,53,254,197,0,0,0,0,0,0,0,0,254,128,254,185,0,0,0,0,0,0,0,0,0,55,254,105,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,254,9,0,0,0,0,0,0,0,0,0,0,0,181,254,173,0,0,0,0,0,0,0,0,0,0,0,181,254,42,0,0,0,0,0,0,0,0,0,0,0,254,254,0,0,0,0,0,0,0,0,0,0,0,44,254,254,0,0,0,0,0,0,0,0,0,0,0,44,254,186,0,0,0,0,0,0,0,0,0,0,0,44,254,11,0,0,0,0,0,0,0,0,0,0,0,27,254,186,0,0,0,0,0,0,0,0,0,0,0,23,254,186,0,0,0,0,0,0,0,0,0,0,0,0,255,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
